,compound,neg,neu,pos
Mangkhut2018-09-14,1,0.022,0.751,0.227
Mangkhut2018-09-16,1,0.155,0.662,0.183
Mangkhut2018-09-17,-1,0.13,0.75,0.119
yutu2018-10-31,-1,0.157,0.707,0.136
yutu2018-11-01,-1,0.157,0.715,0.127
yutu2018-11-02,1,0.144,0.644,0.212
Barijat2018-09-12,1,0.109,0.751,0.141
Barijat2018-09-13,1,0.051,0.789,0.16
Bebinca_2018-08-13,-1,0.071,0.875,0.053
Bebinca_2018-08-14,-1,0.122,0.843,0.035
Bebinca_2018-08-15,1,0.029,0.944,0.027
Son-Tinh_2018-07-17,0.9999,0.027,0.94,0.033
Son-Tinh_2018-07-18,1,0,0.972,0.028
Son-Tinh_2018-07-23,-1,0.359,0.641,0
Ewiniar_2018-06-08,-1,0.151,0.849,0
Ewiniar_2018-06-09,-0.9997,0.056,0.881,0.063
Khanun_2017-10-13,-1,0.226,0.701,0.072
Khanun_2017-10-14,1,0,0.864,0.136
Khanun_2017-10-15,-1,0.042,0.934,0.023
Khanun_2017-10-16,-1,0.064,0.895,0.041
Marwar_2017-09-02,1,0,0.913,0.087
Marwar_2017-09-03,-1,0.106,0.862,0.032
Marwar_2017-09-04,-1,0.039,0.948,0.013
Pahkar_2018-08-25,-1,0.093,0.825,0.082
Pahkar_2018-08-26,0.9999,0.048,0.907,0.045
Pahkar_2018-08-27,-1,0.094,0.847,0.059
Hato_2017-08-22,1,0.017,0.854,0.129
Hato_2017-08-23,-1,0.073,0.889,0.038
Merbok_2017-06-11,-1,0.058,0.897,0.046
Merbok_2017-06-12,1,0.045,0.824,0.131
Haima_2016-10-19,1,0.07,0.812,0.118
Haima_2016-10-20,1,0.037,0.8,0.163
Nida_2016-07-30,0.9999,0.026,0.945,0.03
Nida_2016-07-31,-1,0.112,0.861,0.027
Nida_2016-08-01,1,0.011,0.842,0.147
Linfa_2015-07-09,1,0.029,0.787,0.184
Linfa_2015-07-10,-1,0.153,0.829,0.018
